GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A43AA1970,A43AB1970,B37AA1970,B37AB1970,B39AA1970,B39AB1970
"G0400190","1970","Arizona","04","040","Pima County","019","0190","Pima",110785,7838,72426,38359,1586,1314
"G0400210","1970","Arizona","04","040","Pinal County","021","0210","Pinal",18096,1556,11000,7096,275,370
"G0400230","1970","Arizona","04","040","Santa Cruz County","023","0230","Santa Cruz",3817,463,2123,1694,20,14
"G0400250","1970","Arizona","04","040","Yavapai County","025","0250","Yavapai",12999,3137,8879,4120,31,20
"G0400270","1970","Arizona","04","040","Yuma County","027","0270","Yuma",17586,1867,10982,6604,211,351
"G0500010","1970","Arkansas","05","050","Arkansas County","001","0010","Arkansas",7500,686,4534,2966,668,756
"G0500030","1970","Arkansas","05","050","Ashley County","003","0030","Ashley",7535,728,5313,2222,1106,867
"G0500050","1970","Arkansas","05","050","Baxter County","005","0050","Baxter",5800,756,4839,961,18,16
"G0500070","1970","Arkansas","05","050","Benton County","007","0070","Benton",16916,1839,12459,4457,44,39
"G0500090","1970","Arkansas","05","050","Boone County","009","0090","Boone",6654,649,5022,1632,12,2
"G0500110","1970","Arkansas","05","050","Bradley County","011","0110","Bradley",4229,492,3069,1160,742,365
"G0500130","1970","Arkansas","05","050","Calhoun County","013","0130","Calhoun",1769,263,1403,366,337,109
"G0500150","1970","Arkansas","05","050","Carroll County","015","0150","Carroll",4565,633,3507,1058,3,4
"G0500170","1970","Arkansas","05","050","Chicot County","017","0170","Chicot",5477,700,3443,2034,1613,1122
"G0500190","1970","Arkansas","05","050","Clark County","019","0190","Clark",6608,625,4319,2289,850,444
"G0500210","1970","Arkansas","05","050","Clay County","021","0210","Clay",6511,574,4426,2085,1,0
"G0500230","1970","Arkansas","05","050","Cleburne County","023","0230","Cleburne",3617,803,2914,703,5,1
"G0500250","1970","Arkansas","05","050","Cleveland County","025","0250","Cleveland",2145,218,1599,546,206,143
"G0500270","1970","Arkansas","05","050","Columbia County","027","0270","Columbia",8197,791,5669,2528,1508,947
"G0500290","1970","Arkansas","05","050","Conway County","029","0290","Conway",5299,528,3763,1536,586,202
"G0500310","1970","Arkansas","05","050","Craighead County","031","0310","Craighead",16572,1078,10565,6007,252,202
"G0500330","1970","Arkansas","05","050","Crawford County","033","0330","Crawford",8174,722,6000,2174,122,67
"G0500350","1970","Arkansas","05","050","Crittenden County","035","0350","Crittenden",13255,1019,7202,6053,2258,3408
"G0500370","1970","Arkansas","05","050","Cross County","037","0370","Cross",5703,332,3469,2234,633,627
"G0500390","1970","Arkansas","05","050","Dallas County","039","0390","Dallas",3182,338,2425,757,707,299
"G0500410","1970","Arkansas","05","050","Desha County","041","0410","Desha",5646,672,3194,2452,1096,1091
"G0500430","1970","Arkansas","05","050","Drew County","043","0430","Drew",4619,459,3099,1520,694,452
"G0500450","1970","Arkansas","05","050","Faulkner County","045","0450","Faulkner",9281,915,6505,2776,481,225
"G0500470","1970","Arkansas","05","050","Franklin County","047","0470","Franklin",3656,414,2736,920,20,15
"G0500490","1970","Arkansas","05","050","Fulton County","049","0490","Fulton",2647,390,2083,564,0,7
"G0500510","1970","Arkansas","05","050","Garland County","051","0510","Garland",20096,3900,12820,7276,871,761
"G0500530","1970","Arkansas","05","050","Grant County","053","0530","Grant",3120,229,2410,710,75,21
"G0500550","1970","Arkansas","05","050","Greene County","055","0550","Greene",8329,441,5548,2781,2,4
"G0500570","1970","Arkansas","05","050","Hempstead County","057","0570","Hempstead",6493,644,4713,1780,1226,635
"G0500590","1970","Arkansas","05","050","Hot Spring County","059","0590","Hot Spring",7203,510,5512,1691,593,200
"G0500610","1970","Arkansas","05","050","Howard County","061","0610","Howard",3798,403,2853,945,395,228
"G0500630","1970","Arkansas","05","050","Independence County","063","0630","Independence",7740,631,5631,2109,108,90
"G0500650","1970","Arkansas","05","050","Izard County","065","0650","Izard",2620,578,2065,555,13,14
"G0500670","1970","Arkansas","05","050","Jackson County","067","0670","Jackson",6609,482,3849,2760,346,441
"G0500690","1970","Arkansas","05","050","Jefferson County","069","0690","Jefferson",25714,2633,16375,9339,4982,4101
"G0500710","1970","Arkansas","05","050","Johnson County","071","0710","Johnson",4761,517,3494,1267,46,33
"G0500730","1970","Arkansas","05","050","Lafayette County","073","0730","Lafayette",3180,612,2279,901,771,395
"G0500750","1970","Arkansas","05","050","Lawrence County","075","0750","Lawrence",5533,552,3790,1743,32,16
"G0500770","1970","Arkansas","05","050","Lee County","077","0770","Lee",5199,367,2731,2468,1188,1574
"G0500790","1970","Arkansas","05","050","Lincoln County","079","0790","Lincoln",3437,349,2156,1281,674,548
"G0500810","1970","Arkansas","05","050","Little River County","081","0810","Little River",3469,548,2605,864,589,227
"G0500830","1970","Arkansas","05","050","Logan County","083","0830","Logan",5596,590,4199,1397,61,14
"G0500850","1970","Arkansas","05","050","Lonoke County","085","0850","Lonoke",8020,890,5227,2793,576,602
"G0500870","1970","Arkansas","05","050","Madison County","087","0870","Madison",3132,422,2489,643,1,5
"G0500890","1970","Arkansas","05","050","Marion County","089","0890","Marion",2566,482,2119,447,2,21
"G0500910","1970","Arkansas","05","050","Miller County","091","0910","Miller",10830,1045,7333,3497,1322,860
"G0500930","1970","Arkansas","05","050","Mississippi County","093","0930","Mississippi",18292,1526,8867,9425,1408,2818
"G0500950","1970","Arkansas","05","050","Monroe County","095","0950","Monroe",4703,304,2614,2089,937,845
"G0500970","1970","Arkansas","05","050","Montgomery County","097","0970","Montgomery",2056,301,1640,416,2,4
"G0500990","1970","Arkansas","05","050","Nevada County","099","0990","Nevada",3415,410,2497,918,622,328
"G0501010","1970","Arkansas","05","050","Newton County","101","1010","Newton",1890,392,1497,393,5,3
"G0501030","1970","Arkansas","05","050","Ouachita County","103","1030","Ouachita",9979,1134,7164,2815,2076,1071
"G0501050","1970","Arkansas","05","050","Perry County","105","1050","Perry",1854,364,1437,417,23,17
"G0501070","1970","Arkansas","05","050","Phillips County","107","1070","Phillips",11497,854,5452,6045,1951,3822
"G0501090","1970","Arkansas","05","050","Pike County","109","1090","Pike",3012,357,2336,676,75,39
"G0501110","1970","Arkansas","05","050","Poinsett County","111","1110","Poinsett",8307,616,4304,4003,157,456
"G0501130","1970","Arkansas","05","050","Polk County","113","1130","Polk",4673,519,3585,1088,6,4
"G0501150","1970","Arkansas","05","050","Pope County","115","1150","Pope",9014,868,6249,2765,132,102
"G0501170","1970","Arkansas","05","050","Prairie County","117","1170","Prairie",3280,322,2203,1077,246,206
"G0501190","1970","Arkansas","05","050","Pulaski County","119","1190","Pulaski",92013,6188,58149,33864,8580,7384
"G0501210","1970","Arkansas","05","050","Randolph County","121","1210","Randolph",4265,390,3027,1238,31,12
"G0501230","1970","Arkansas","05","050","St. Francis County","123","1230","St Francis",8543,482,4464,4079,1354,2144
"G0501250","1970","Arkansas","05","050","Saline County","125","1250","Saline",10869,815,8296,2573,276,191
"G0501270","1970","Arkansas","05","050","Scott County","127","1270","Scott",2778,259,2127,651,2,1
"G0501290","1970","Arkansas","05","050","Searcy County","129","1290","Searcy",2573,464,1988,585,0,3
"G0501310","1970","Arkansas","05","050","Sebastian County","131","1310","Sebastian",26570,2036,18175,8395,689,629
"G0501330","1970","Arkansas","05","050","Sevier County","133","1330","Sevier",3793,376,2879,914,179,42
"G0501350","1970","Arkansas","05","050","Sharp County","135","1350","Sharp",2936,1439,2330,606,4,1
"G0501370","1970","Arkansas","05","050","Stone County","137","1370","Stone",2210,444,1726,484,5,5
"G0501390","1970","Arkansas","05","050","Union County","139","1390","Union",15145,1500,10853,4292,2237,1522
"G0501410","1970","Arkansas","05","050","Van Buren County","141","1410","Van Buren",2857,504,2339,518,16,20
"G0501430","1970","Arkansas","05","050","Washington County","143","1430","Washington",24791,1764,16078,8713,150,135
"G0501450","1970","Arkansas","05","050","White County","145","1450","White",12665,1141,9038,3627,241,147
"G0501470","1970","Arkansas","05","050","Woodruff County","147","1470","Woodruff",3717,333,2014,1703,535,584
"G0501490","1970","Arkansas","05","050","Yell County","149","1490","Yell",4725,636,3355,1370,90,29
