GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A00AA1920,A08AA1920,A08AB1920
"G0500810","1920","Arkansas","05","050","Little River County","081","0810","Little River",16301,8565,7736
"G0500830","1920","Arkansas","05","050","Logan County","083","0830","Logan",25866,13075,12791
"G0500850","1920","Arkansas","05","050","Lonoke County","085","0850","Lonoke",33400,17282,16118
"G0500870","1920","Arkansas","05","050","Madison County","087","0870","Madison",14918,7641,7277
"G0500890","1920","Arkansas","05","050","Marion County","089","0890","Marion",10154,5204,4950
"G0500910","1920","Arkansas","05","050","Miller County","091","0910","Miller",24021,12060,11961
"G0500930","1920","Arkansas","05","050","Mississippi County","093","0930","Mississippi",47320,24854,22466
"G0500950","1920","Arkansas","05","050","Monroe County","095","0950","Monroe",21601,11073,10528
"G0500970","1920","Arkansas","05","050","Montgomery County","097","0970","Montgomery",11112,5717,5395
"G0500990","1920","Arkansas","05","050","Nevada County","099","0990","Nevada",21934,11054,10880
"G0501010","1920","Arkansas","05","050","Newton County","101","1010","Newton",11199,5798,5401
"G0501030","1920","Arkansas","05","050","Ouachita County","103","1030","Ouachita",20636,10464,10172
"G0501050","1920","Arkansas","05","050","Perry County","105","1050","Perry",9905,5130,4775
"G0501070","1920","Arkansas","05","050","Phillips County","107","1070","Phillips",44530,22878,21652
"G0501090","1920","Arkansas","05","050","Pike County","109","1090","Pike",12397,6349,6048
"G0501110","1920","Arkansas","05","050","Poinsett County","111","1110","Poinsett",20848,11172,9676
"G0501130","1920","Arkansas","05","050","Polk County","113","1130","Polk",16412,8319,8093
"G0501150","1920","Arkansas","05","050","Pope County","115","1150","Pope",27153,13702,13451
"G0501170","1920","Arkansas","05","050","Prairie County","117","1170","Prairie",17447,9099,8348
"G0501190","1920","Arkansas","05","050","Pulaski County","119","1190","Pulaski",109464,56284,53180
"G0501210","1920","Arkansas","05","050","Randolph County","121","1210","Randolph",17713,9187,8526
"G0501230","1920","Arkansas","05","050","St. Francis County","123","1230","St Francis",28385,14511,13874
"G0501250","1920","Arkansas","05","050","Saline County","125","1250","Saline",16781,8685,8096
"G0501270","1920","Arkansas","05","050","Scott County","127","1270","Scott",13232,6803,6429
"G0501290","1920","Arkansas","05","050","Searcy County","129","1290","Searcy",14590,7522,7068
"G0501310","1920","Arkansas","05","050","Sebastian County","131","1310","Sebastian",56739,28472,28267
"G0501330","1920","Arkansas","05","050","Sevier County","133","1330","Sevier",18301,9382,8919
"G0501350","1920","Arkansas","05","050","Sharp County","135","1350","Sharp",11132,5670,5462
"G0501370","1920","Arkansas","05","050","Stone County","137","1370","Stone",8779,4580,4199
"G0501390","1920","Arkansas","05","050","Union County","139","1390","Union",29691,15145,14546
"G0501410","1920","Arkansas","05","050","Van Buren County","141","1410","Van Buren",13666,6977,6689
"G0501430","1920","Arkansas","05","050","Washington County","143","1430","Washington",35468,17824,17644
"G0501450","1920","Arkansas","05","050","White County","145","1450","White",34603,17708,16895
"G0501470","1920","Arkansas","05","050","Woodruff County","147","1470","Woodruff",21547,11071,10476
"G0501490","1920","Arkansas","05","050","Yell County","149","1490","Yell",25655,13112,12543
"G0600010","1920","California","06","060","Alameda County","001","0010","Alameda",344177,174638,169539
"G0600030","1920","California","06","060","Alpine County","003","0030","Alpine",243,149,94
"G0600050","1920","California","06","060","Amador County","005","0050","Amador",7793,4677,3116
"G0600070","1920","California","06","060","Butte County","007","0070","Butte",30030,16773,13257
"G0600090","1920","California","06","060","Calaveras County","009","0090","Calaveras",6183,3642,2541
"G0600110","1920","California","06","060","Colusa County","011","0110","Colusa",9290,5508,3782
"G0600130","1920","California","06","060","Contra Costa County","013","0130","Contra Costa",53889,31349,22540
"G0600150","1920","California","06","060","Del Norte County","015","0150","Del Norte",2759,1573,1186
"G0600170","1920","California","06","060","El Dorado County","017","0170","El Dorado",6426,3743,2683
"G0600190","1920","California","06","060","Fresno County","019","0190","Fresno",128779,70885,57894
"G0600210","1920","California","06","060","Glenn County","021","0210","Glenn",11853,6900,4953
"G0600230","1920","California","06","060","Humboldt County","023","0230","Humboldt",37413,21154,16259
"G0600250","1920","California","06","060","Imperial County","025","0250","Imperial",43453,25966,17487
"G0600270","1920","California","06","060","Inyo County","027","0270","Inyo",7031,4169,2862
"G0600290","1920","California","06","060","Kern County","029","0290","Kern",54843,31633,23210
"G0600310","1920","California","06","060","Kings County","031","0310","Kings",22031,12131,9900
"G0600330","1920","California","06","060","Lake County","033","0330","Lake",5402,2877,2525
"G0600350","1920","California","06","060","Lassen County","035","0350","Lassen",8507,5341,3166
"G0600370","1920","California","06","060","Los Angeles County","037","0370","Los Angeles",936455,462332,474123
"G0600390","1920","California","06","060","Madera County","039","0390","Madera",12203,6765,5438
"G0600410","1920","California","06","060","Marin County","041","0410","Marin",27342,15910,11432
"G0600430","1920","California","06","060","Mariposa County","043","0430","Mariposa",2775,1673,1102
"G0600435","1920","California","06","060","Mariposa-Mono [multi-county reporting area]",,"0435","Mariposa-Mono (multi-county reporting area)",,,
"G0600450","1920","California","06","060","Mendocino County","045","0450","Mendocino",24116,14204,9912
"G0600470","1920","California","06","060","Merced County","047","0470","Merced",24579,14298,10281
"G0600490","1920","California","06","060","Modoc County","049","0490","Modoc",5425,3001,2424
"G0600510","1920","California","06","060","Mono County","051","0510","Mono",960,596,364
"G0600530","1920","California","06","060","Monterey County","053","0530","Monterey",27980,15843,12137
"G0600550","1920","California","06","060","Napa County","055","0550","Napa",20678,11300,9378
"G0600570","1920","California","06","060","Nevada County","057","0570","Nevada",10850,6054,4796
"G0600590","1920","California","06","060","Orange County","059","0590","Orange",61375,31254,30121
"G0600610","1920","California","06","060","Placer County","061","0610","Placer",18584,10736,7848
"G0600630","1920","California","06","060","Plumas County","063","0630","Plumas",5681,3817,1864
"G0600650","1920","California","06","060","Riverside County","065","0650","Riverside",50297,26676,23621
"G0600670","1920","California","06","060","Sacramento County","067","0670","Sacramento",91029,49874,41155
"G0600690","1920","California","06","060","San Benito County","069","0690","San Benito",8995,5065,3930
"G0600710","1920","California","06","060","San Bernardino County","071","0710","San Bernardino",73401,38435,34966
"G0600730","1920","California","06","060","San Diego County","073","0730","San Diego",112248,57449,54799
"G0600750","1920","California","06","060","San Francisco County","075","0750","San Francisco",506676,272703,233973
"G0600770","1920","California","06","060","San Joaquin County","077","0770","San Joaquin",79905,44932,34973
"G0600790","1920","California","06","060","San Luis Obispo County","079","0790","San Luis Obispo",21893,11844,10049
"G0600810","1920","California","06","060","San Mateo County","081","0810","San Mateo",36781,20416,16365
"G0600830","1920","California","06","060","Santa Barbara County","083","0830","Santa Barbara",41097,21441,19656
"G0600850","1920","California","06","060","Santa Clara County","085","0850","Santa Clara",100676,51128,49548
"G0600870","1920","California","06","060","Santa Cruz County","087","0870","Santa Cruz",26269,13704,12565
"G0600890","1920","California","06","060","Shasta County","089","0890","Shasta",13361,7681,5680
"G0600910","1920","California","06","060","Sierra County","091","0910","Sierra",1783,1087,696
"G0600930","1920","California","06","060","Siskiyou County","093","0930","Siskiyou",18545,10868,7677
"G0600950","1920","California","06","060","Solano County","095","0950","Solano",40602,25159,15443
"G0600970","1920","California","06","060","Sonoma County","097","0970","Sonoma",52090,27428,24662
"G0600990","1920","California","06","060","Stanislaus County","099","0990","Stanislaus",43557,23656,19901
"G0601010","1920","California","06","060","Sutter County","101","1010","Sutter",10115,6191,3924
"G0601030","1920","California","06","060","Tehama County","103","1030","Tehama",12882,7101,5781
"G0601050","1920","California","06","060","Trinity County","105","1050","Trinity",2551,1585,966
"G0601070","1920","California","06","060","Tulare County","107","1070","Tulare",59031,32646,26385
"G0601090","1920","California","06","060","Tuolumne County","109","1090","Tuolumne",7768,4613,3155
"G0601110","1920","California","06","060","Ventura County","111","1110","Ventura",28724,15167,13557
"G0601130","1920","California","06","060","Yolo County","113","1130","Yolo",17105,9659,7446
"G0601150","1920","California","06","060","Yuba County","115","1150","Yuba",10375,6192,4183
"G0800010","1920","Colorado","08","080","Adams County","001","0010","Adams",14430,8022,6408
"G0800030","1920","Colorado","08","080","Alamosa County","003","0030","Alamosa",5148,2735,2413
"G0800050","1920","Colorado","08","080","Arapahoe County","005","0050","Arapahoe",13766,7335,6431
"G0800070","1920","Colorado","08","080","Archuleta County","007","0070","Archuleta",3590,1934,1656
