GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B21AA1970,B21AB1970,B21AC1970,B21AD1970,B21AE1970,B21AF1970,B21AG1970,B21AH1970,B21AI1970,B21AJ1970
"G0201200","1970","Alaska","02","020","Kenai-Cook Inlet","120","1200","Kenai-Cook Inlet",7019,65,259,325,,6028,40,219,295,
"G0201300","1970","Alaska","02","020","Ketchikan Gateway Borough","130","1300","Ketchikan",4470,25,582,155,,4057,19,597,136,
"G0201400","1970","Alaska","02","020","Kobuk","140","1400","Kobuk",318,5,5,1992,,216,0,3,1895,
"G0201500","1970","Alaska","02","020","Kodiak Island Borough","150","1500","Kodiak",4162,97,57,1049,,3053,60,49,882,
"G0201600","1970","Alaska","02","020","Kuskokwim","160","1600","Kuskokwim",422,32,368,492,,162,3,377,450,
"G0201700","1970","Alaska","02","020","Matanuska-Susitna Borough","170","1700","Matanuska-Susitna",3265,7,90,108,,2924,5,48,62,
"G0201800","1970","Alaska","02","020","Nome Census Area","180","1800","Nome",689,23,9,2350,,516,4,10,2148,
"G0201900","1970","Alaska","02","020","Outer Ketchikan","190","1900","Outer Ketchikan",422,5,434,56,,335,0,386,38,
"G0202000","1970","Alaska","02","020","Prince Of Wales","200","2000","Prince Of Wales",907,4,312,16,,590,2,255,20,
"G0202100","1970","Alaska","02","020","Seward","210","2100","Seward",1105,3,29,106,,962,1,27,103,
"G0202200","1970","Alaska","02","020","Sitka City and Borough","220","2200","Sitka",2458,16,605,148,,2153,20,564,145,
"G0202300","1970","Alaska","02","020","Skagway Municipality","230","2300","Skagway-Yakutat",759,0,390,35,,579,0,362,32,
"G0202400","1970","Alaska","02","020","Southeast Fairbanks Census Area","240","2400","Southeast Fairbanks",2054,128,241,39,,1364,80,238,35,
"G0202500","1970","Alaska","02","020","Upper Yukon","250","2500","Upper Yukon",484,13,488,106,,104,0,419,70,
"G0202600","1970","Alaska","02","020","Valdez-Chitina-Whittier","260","2600","Valdez-Chitina-Whittier",1309,8,212,171,,1069,1,201,127,
"G0202700","1970","Alaska","02","020","Wade Hampton Census Area","270","2700","Wade Hampton",163,10,6,1899,,68,2,11,1758,
"G0202800","1970","Alaska","02","020","Wrangell-Petersburg","280","2800","Wrangell-Petersburg",2019,2,471,93,,1740,2,504,82,
"G0202900","1970","Alaska","02","020","Yukon-Koyukuk Census Area","290","2900","Yukon-Koyukuk",1635,72,1066,109,,815,11,947,97,
"G0400010","1970","Arizona","04","040","Apache County","001","0010","Apache",3872,214,11716,83,,3862,202,12278,71,
"G0400030","1970","Arizona","04","040","Cochise County","003","0030","Cochise",30128,1061,81,299,,29122,752,71,396,
"G0400050","1970","Arizona","04","040","Coconino County","005","0050","Coconino",17250,633,5798,271,,17262,648,6198,266,
"G0400070","1970","Arizona","04","040","Gila County","007","0070","Gila",12020,33,2248,87,,12389,40,2343,95,
"G0400090","1970","Arizona","04","040","Graham County","009","0090","Graham",7269,233,822,195,,6855,139,860,205,
"G0400110","1970","Arizona","04","040","Greenlee County","011","0110","Greenlee",5015,14,59,38,,5084,10,65,45,
"G0400130","1970","Arizona","04","040","Maricopa County","013","0130","Maricopa",446017,16090,5335,4533,,468447,16782,5824,4494,
"G0400150","1970","Arizona","04","040","Mohave County","015","0150","Mohave",12563,10,448,63,,12287,11,421,54,
"G0400170","1970","Arizona","04","040","Navajo County","017","0170","Navajo",11659,513,11283,168,,11766,403,11740,183,
"G0400190","1970","Arizona","04","040","Pima County","019","0190","Pima",160487,5221,4395,1551,,168791,5101,4442,1679,
"G0400210","1970","Arizona","04","040","Pinal County","021","0210","Pinal",29418,1704,3194,527,,28098,1304,3211,460,
"G0400230","1970","Arizona","04","040","Santa Cruz County","023","0230","Santa Cruz",6413,58,12,54,,7327,32,10,60,
"G0400250","1970","Arizona","04","040","Yavapai County","025","0250","Yavapai",17807,75,348,82,,17947,70,338,66,
"G0400270","1970","Arizona","04","040","Yuma County","027","0270","Yuma",28845,1110,1171,413,,26948,881,1101,358,
"G0500010","1970","Arkansas","05","050","Arkansas County","001","0010","Arkansas",8780,2554,11,14,,9215,2746,7,20,
"G0500030","1970","Arkansas","05","050","Ashley County","003","0030","Ashley",8637,3619,3,4,,8776,3932,3,2,
"G0500050","1970","Arkansas","05","050","Baxter County","005","0050","Baxter",7458,2,27,5,,7796,2,17,12,
"G0500070","1970","Arkansas","05","050","Benton County","007","0070","Benton",24392,14,124,35,,25734,11,144,22,
"G0500090","1970","Arkansas","05","050","Boone County","009","0090","Boone",9123,2,6,1,,9928,0,9,4,
"G0500110","1970","Arkansas","05","050","Bradley County","011","0110","Bradley",4124,1977,0,0,,4604,2064,6,3,
"G0500130","1970","Arkansas","05","050","Calhoun County","013","0130","Calhoun",1851,854,0,4,,1919,941,0,4,
