GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,BDK001,BDK002,BDK003,BDK004,BDK005,BDK006
"G3100210","1930","Nebraska","310","Burt","0210","Burt",6827,6206,1,0,15,13
"G3100230","1930","Nebraska","310","Butler","0230","Butler",7377,7019,7,7,0,0
"G3100250","1930","Nebraska","310","Cass","0250","Cass",9226,8438,7,5,3,5
"G3100270","1930","Nebraska","310","Cedar","0270","Cedar",8602,7825,0,0,0,0
"G3100290","1930","Nebraska","310","Chase","0290","Chase",2876,2607,0,0,1,0
"G3100310","1930","Nebraska","310","Cherry","0310","Cherry",5811,4973,17,16,42,39
"G3100330","1930","Nebraska","310","Cheyenne","0330","Cheyenne",5274,4806,6,9,57,35
"G3100350","1930","Nebraska","310","Clay","0350","Clay",6817,6753,1,0,0,0
"G3100370","1930","Nebraska","310","Colfax","0370","Colfax",5944,5477,4,4,1,4
"G3100390","1930","Nebraska","310","Cuming","0390","Cuming",7432,6891,0,0,2,2
"G3100410","1930","Nebraska","310","Custer","0410","Custer",13725,12447,8,9,0,0
"G3100430","1930","Nebraska","310","Dakota","0430","Dakota",4997,4404,36,41,14,13
"G3100450","1930","Nebraska","310","Dawes","0450","Dawes",6024,5267,23,23,88,68
"G3100470","1930","Nebraska","310","Dawson","0470","Dawson",9275,8471,6,7,73,43
"G3100490","1930","Nebraska","310","Deuel","0490","Deuel",2079,1823,0,0,57,33
"G3100510","1930","Nebraska","310","Dixon","0510","Dixon",6146,5439,0,1,0,0
"G3100530","1930","Nebraska","310","Dodge","0530","Dodge",12693,12506,34,24,16,0
"G3100550","1930","Nebraska","310","Douglas","0550","Douglas",109598,110960,5636,5530,775,483
"G3100570","1930","Nebraska","310","Dundy","0570","Dundy",2920,2690,0,0,0,0
"G3100590","1930","Nebraska","310","Fillmore","0590","Fillmore",6451,6492,1,22,0,5
"G3100610","1930","Nebraska","310","Franklin","0610","Franklin",4704,4390,0,0,0,0
"G3100630","1930","Nebraska","310","Frontier","0630","Frontier",4295,3814,1,4,0,0
"G3100650","1930","Nebraska","310","Furnas","0650","Furnas",6110,6028,1,0,1,0
"G3100670","1930","Nebraska","310","Gage","0670","Gage",15158,14948,50,41,23,22
"G3100690","1930","Nebraska","310","Garden","0690","Garden",2672,2276,0,1,83,67
"G3100710","1930","Nebraska","310","Garfield","0710","Garfield",1691,1516,0,0,0,0
"G3100730","1930","Nebraska","310","Gosper","0730","Gosper",2239,2048,0,0,0,0
"G3100750","1930","Nebraska","310","Grant","0750","Grant",795,626,2,3,1,0
"G3100770","1930","Nebraska","310","Greeley","0770","Greeley",4446,3992,4,0,0,0
"G3100790","1930","Nebraska","310","Hall","0790","Hall",13402,13415,71,61,94,74
"G3100810","1930","Nebraska","310","Hamilton","0810","Hamilton",6206,5949,3,0,1,0
"G3100830","1930","Nebraska","310","Harlan","0830","Harlan",4571,4373,6,3,3,1
"G3100850","1930","Nebraska","310","Hayes","0850","Hayes",1947,1656,0,0,0,0
"G3100870","1930","Nebraska","310","Hitchcock","0870","Hitchcock",3854,3403,1,2,5,4
"G3100890","1930","Nebraska","310","Holt","0890","Holt",8597,7904,3,3,2,0
"G3100910","1930","Nebraska","310","Hooker","0910","Hooker",628,552,0,0,0,0
"G3100930","1930","Nebraska","310","Howard","0930","Howard",5233,4786,1,0,0,0
"G3100950","1930","Nebraska","310","Jefferson","0950","Jefferson",8341,7997,5,5,36,25
"G3100970","1930","Nebraska","310","Johnson","0970","Johnson",4705,4452,0,0,0,0
"G3100990","1930","Nebraska","310","Kearney","0990","Kearney",4105,3957,0,0,19,13
"G3101010","1930","Nebraska","310","Keith","1010","Keith",3577,3030,4,0,69,41
"G3101030","1930","Nebraska","310","Keya Paha","1030","Keya Paha",1665,1537,1,0,0,0
"G3101050","1930","Nebraska","310","Kimball","1050","Kimball",2449,2124,1,0,53,48
"G3101070","1930","Nebraska","310","Knox","1070","Knox",9633,8773,3,2,357,342
"G3101090","1930","Nebraska","310","Lancaster","1090","Lancaster",48411,50377,634,504,271,127
"G3101110","1930","Nebraska","310","Lincoln","1110","Lincoln",13180,11655,19,16,455,302
"G3101130","1930","Nebraska","310","Logan","1130","Logan",1077,927,5,5,0,0
"G3101150","1930","Nebraska","310","Loup","1150","Loup",961,857,0,0,0,0
"G3101170","1930","Nebraska","310","McPherson","1170","Mcpherson",738,618,0,0,0,2
"G3101190","1930","Nebraska","310","Madison","1190","Madison",13054,12927,22,19,8,7
"G3101210","1930","Nebraska","310","Merrick","1210","Merrick",5554,5012,11,17,18,7
"G3101230","1930","Nebraska","310","Morrill","1230","Morrill",4947,4430,2,0,311,260
"G3101250","1930","Nebraska","310","Nance","1250","Nance",4560,4149,0,0,5,4
"G3101270","1930","Nebraska","310","Nemaha","1270","Nemaha",6318,6027,6,5,0,0
"G3101290","1930","Nebraska","310","Nuckolls","1290","Nuckolls",6445,6136,5,4,21,18
"G3101310","1930","Nebraska","310","Otoe","1310","Otoe",10264,9563,30,31,9,4
"G3101330","1930","Nebraska","310","Pawnee","1330","Pawnee",4820,4603,0,0,0,0
"G3101350","1930","Nebraska","310","Perkins","1350","Perkins",3088,2739,0,0,4,3
"G3101370","1930","Nebraska","310","Phelps","1370","Phelps",4708,4528,3,1,12,9
"G3101390","1930","Nebraska","310","Pierce","1390","Pierce",5787,5293,0,0,0,0
"G3101410","1930","Nebraska","310","Platte","1410","Platte",10867,10308,4,2,0,0
"G3101430","1930","Nebraska","310","Polk","1430","Polk",5189,4903,0,0,0,0
"G3101450","1930","Nebraska","310","Red Willow","1450","Red Willow",7096,6669,22,8,32,32
"G3101470","1930","Nebraska","310","Richardson","1470","Richardson",10112,9534,28,26,72,54
"G3101490","1930","Nebraska","310","Rock","1490","Rock",1808,1557,0,0,0,1
"G3101510","1930","Nebraska","310","Saline","1510","Saline",8321,8032,0,0,3,0
"G3101530","1930","Nebraska","310","Sarpy","1530","Sarpy",5760,4599,11,8,13,11
"G3101550","1930","Nebraska","310","Saunders","1550","Saunders",10347,9781,5,1,33,0
"G3101570","1930","Nebraska","310","Scotts Bluff","1570","Scotts Bluff",13653,12362,64,35,1368,1162
"G3101590","1930","Nebraska","310","Seward","1590","Seward",7986,7939,4,9,0,0
"G3101610","1930","Nebraska","310","Sheridan","1610","Sheridan",5641,5056,7,0,48,41
"G3101630","1930","Nebraska","310","Sherman","1630","Sherman",4744,4377,0,1,0,0
"G3101650","1930","Nebraska","310","Sioux","1650","Sioux",2436,2043,0,0,99,89
"G3101670","1930","Nebraska","310","Stanton","1670","Stanton",4145,3661,1,2,0,0
"G3101690","1930","Nebraska","310","Thayer","1690","Thayer",6942,6732,0,0,4,6
"G3101710","1930","Nebraska","310","Thomas","1710","Thomas",785,721,1,1,2,0
"G3101730","1930","Nebraska","310","Thurston","1730","Thurston",4688,3875,3,1,963,932
"G3101750","1930","Nebraska","310","Valley","1750","Valley",4947,4586,0,0,0,0
"G3101770","1930","Nebraska","310","Washington","1770","Washington",6298,5794,2,1,0,0
"G3101790","1930","Nebraska","310","Wayne","1790","Wayne",5543,5018,3,2,0,0
"G3101810","1930","Nebraska","310","Webster","1810","Webster",5198,5009,0,0,2,1
"G3101830","1930","Nebraska","310","Wheeler","1830","Wheeler",1237,1098,0,0,0,0
"G3101850","1930","Nebraska","310","York","1850","York",8580,8620,12,12,3,12
"G3200010","1930","Nevada","320","Churchill","0010","Churchill",2562,1959,1,0,292,261
"G3200030","1930","Nevada","320","Clark","0030","Clark",4133,3231,77,73,576,442
"G3200050","1930","Nevada","320","Douglas","0050","Douglas",924,655,1,1,158,101
"G3200070","1930","Nevada","320","Elko","0070","Elko",5052,3447,36,39,879,507
"G3200090","1930","Nevada","320","Esmeralda","0090","Esmeralda",648,373,3,2,30,21
"G3200110","1930","Nevada","320","Eureka","0110","Eureka",684,413,0,0,158,78
"G3200130","1930","Nevada","320","Humboldt","0130","Humboldt",1905,1280,22,14,361,213
"G3200150","1930","Nevada","320","Lander","0150","Lander",816,536,2,8,202,150
"G3200170","1930","Nevada","320","Lincoln","0170","Lincoln",1988,1322,2,1,230,58
"G3200190","1930","Nevada","320","Lyon","0190","Lyon",1979,1368,6,1,243,213
"G3200210","1930","Nevada","320","Mineral","0210","Mineral",909,423,2,2,281,246
"G3200230","1930","Nevada","320","Nye","0230","Nye",2170,1266,9,10,297,237
"G3200250","1930","Nevada","320","Ormsby","0250","Ormsby",1050,846,11,2,186,126
"G3200270","1930","Nevada","320","Pershing","0270","Pershing",1460,885,4,2,207,94
"G3200290","1930","Nevada","320","Storey","0290","Storey",361,277,0,0,17,12
"G3200310","1930","Nevada","320","Washoe","0310","Washoe",14100,11451,79,64,898,566
"G3200330","1930","Nevada","320","White Pine","0330","White Pine",6554,4398,22,20,574,203
"G3300010","1930","New Hampshire","330","Belknap","0010","Belknap",11230,11346,25,12,4,6
"G3300030","1930","New Hampshire","330","Carroll","0030","Carroll",7333,6927,7,8,2,0
"G3300050","1930","New Hampshire","330","Cheshire","0050","Cheshire",16909,16726,25,14,5,6
"G3300070","1930","New Hampshire","330","Coos","0070","Coos",20195,18757,2,2,3,0
"G3300090","1930","New Hampshire","330","Grafton","0090","Grafton",21860,20890,29,31,4,2
"G3300110","1930","New Hampshire","330","Hillsborough","0110","Hillsborough",68200,71813,69,39,38,6
"G3300130","1930","New Hampshire","330","Merrimack","0130","Merrimack",27564,28470,53,51,13,1
"G3300150","1930","New Hampshire","330","Rockingham","0150","Rockingham",26616,26739,292,86,12,5
"G3300170","1930","New Hampshire","330","Strafford","0170","Strafford",18971,19566,7,2,19,15
"G3300190","1930","New Hampshire","330","Sullivan","0190","Sullivan",12249,11989,15,21,8,4
"G3400010","1930","New Jersey","340","Atlantic","0010","Atlantic",51190,53811,9547,10156,85,34
