GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,AE7AA1990,AE7AB1990,AE7AC1990,AE7AD1990,AE7AE1990,AE7AF1990,AE7AG1990,AE7AH1990,AE7AI1990,AE7AJ1990,AE7AK1990,AE7AL1990
"G0202010","1990","Alaska","02","020","Prince Of Wales-Outer Ketchikan","201","2010","Prince of Wales-Outer Ketchikan Census Area",3798,9,2324,24,2,,61,0,34,4,22,
"G0202200","1990","Alaska","02","020","Sitka City and Borough","220","2200","Sitka Borough",6270,39,1758,312,0,,89,0,39,21,60,
"G0202310","1990","Alaska","02","020","Skagway-Yakutat-Angoon","231","2310","Skagway-Yakutat-Angoon Census Area",2622,6,1656,31,3,,27,1,14,1,24,
"G0202400","1990","Alaska","02","020","Southeast Fairbanks Census Area","240","2400","Southeast Fairbanks Census Area",4612,284,762,77,1,,58,6,8,5,100,
"G0202610","1990","Alaska","02","020","Valdez-Cordova Census Area","261","2610","Valdez-Cordova Census Area",8096,55,1219,310,2,,151,2,26,14,77,
"G0202700","1990","Alaska","02","020","Wade Hampton Census Area","270","2700","Wade Hampton Census Area",342,12,5397,22,1,,4,0,8,1,4,
"G0202800","1990","Alaska","02","020","Wrangell-Petersburg","280","2800","Wrangell-Petersburg Census Area",5472,11,1348,91,1,,72,0,19,3,25,
"G0202900","1990","Alaska","02","020","Yukon-Koyukuk Census Area","290","2900","Yukon-Koyukuk Census Area",3538,88,4719,50,1,,46,0,7,1,28,
"G0400010","1990","Arizona","04","040","Apache County","001","0010","Apache County",11354,98,47425,86,29,,1102,2,378,8,1109,
"G0400030","1990","Arizona","04","040","Cochise County","003","0030","Cochise County",61543,4815,654,2108,125,,18181,263,136,139,9660,
"G0400050","1990","Arizona","04","040","Coconino County","005","0050","Coconino County",56938,1339,27737,821,60,,4898,80,496,40,4182,
"G0400070","1990","Arizona","04","040","Gila County","007","0070","Gila County",27377,97,5112,109,35,,3399,2,126,31,3928,
"G0400090","1990","Arizona","04","040","Graham County","009","0090","Graham County",15437,468,3857,97,13,,5166,34,94,9,1379,
"G0400110","1990","Arizona","04","040","Greenlee County","011","0110","Greenlee County",4372,27,129,15,9,,2463,1,54,1,937,
"G0400120","1990","Arizona","04","040","La Paz County","012","0120","La Paz County",8495,103,2005,83,19,,1840,15,397,19,868,
"G0400130","1990","Arizona","04","040","Maricopa County","013","0130","Maricopa County",1637076,70843,32270,33996,2418,,162344,3414,5747,2298,171695,
"G0400150","1990","Arizona","04","040","Mohave County","015","0150","Mohave County",85808,291,1919,514,46,,3026,12,226,55,1600,
"G0400170","1990","Arizona","04","040","Navajo County","017","0170","Navajo County",31256,667,39789,245,49,,2949,36,628,19,2020,
"G0400190","1990","Arizona","04","040","Pima County","019","0190","Pima County",454919,19455,17005,11228,1011,,70057,1340,3325,736,87804,
"G0400210","1990","Arizona","04","040","Pinal County","021","0210","Pinal County",68900,3469,9402,439,107,,18319,179,1383,63,14118,
"G0400230","1990","Arizona","04","040","Santa Cruz County","023","0230","Santa Cruz County",6168,56,29,131,71,,15991,41,35,33,7121,
"G0400250","1990","Arizona","04","040","Yavapai County","025","0250","Yavapai County",98391,305,1580,470,69,,4715,16,160,20,1988,
"G0400270","1990","Arizona","04","040","Yuma County","027","0270","Yuma County",58151,2776,1178,1188,214,,22551,280,251,205,20101,
"G0500010","1990","Arkansas","05","050","Arkansas County","001","0010","Arkansas County",16779,4724,53,35,1,,37,14,0,0,10,
"G0500030","1990","Arkansas","05","050","Ashley County","003","0030","Ashley County",17406,6607,42,44,0,,105,9,4,4,98,
"G0500050","1990","Arkansas","05","050","Baxter County","005","0050","Baxter County",30827,4,120,60,4,,137,0,3,1,30,
