GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A68AA2000,CL5AA2000,B69AA2000,B69AB2000,B69AC2000,B84AA2000,B84AB2000,B84AC2000,B84AD2000,B84AE2000,B84AF2000
"G0200160","2000","Alaska","02","020","Aleutians West Census Area","016","0160","Aleutians West Census Area",736,2401,424,3358,469,3788,63,3725,3252,473,849
"G0200200","2000","Alaska","02","020","Anchorage Municipality","020","0200","Anchorage Municipality",64131,204630,4913,108778,46240,143350,8503,134847,125737,9110,49432
"G0200500","2000","Alaska","02","020","Bethel Census Area","050","0500","Bethel Census Area",3175,14004,1427,5549,1050,6446,29,6417,5481,936,3823
"G0200600","2000","Alaska","02","020","Bristol Bay Borough","060","0600","Bristol Bay Borough",301,1003,35,582,165,649,0,649,581,68,259
"G0200680","2000","Alaska","02","020","Denali Borough","068","0680","Denali Borough",453,1371,43,974,299,1065,114,951,841,110,440
"G0200700","2000","Alaska","02","020","Dillingham Census Area","070","0700","Dillingham Census Area",1106,4246,356,1863,436,2007,12,1995,1765,230,1209
"G0200900","2000","Alaska","02","020","Fairbanks North Star Borough","090","0900","Fairbanks North Star Borough",20502,65566,1037,33969,12968,45008,6215,38793,35258,3535,15610
"G0201000","2000","Alaska","02","020","Haines Borough","100","1000","Haines Borough",654,1923,49,1216,395,1149,0,1149,992,157,715
"G0201100","2000","Alaska","02","020","Juneau City and Borough","110","1100","Juneau City and Borough",7638,23668,373,12359,7167,17623,151,17472,16537,935,5719
"G0201220","2000","Alaska","02","020","Kenai Peninsula Borough","122","1220","Kenai Peninsula Borough",12716,40108,985,24041,6362,23116,122,22994,20364,2630,13665
"G0201300","2000","Alaska","02","020","Ketchikan Gateway Borough","130","1300","Ketchikan Gateway Borough",3634,11272,205,6980,1814,7772,174,7598,7017,581,2795
"G0201500","2000","Alaska","02","020","Kodiak Island Borough","150","1500","Kodiak Island Borough",3257,11456,574,6078,1535,7262,796,6466,6131,335,2532
"G0201640","2000","Alaska","02","020","Lake and Peninsula Borough","164","1640","Lake and Peninsula Borough",418,1563,162,697,122,678,0,678,581,97,546
"G0201700","2000","Alaska","02","020","Matanuska-Susitna Borough","170","1700","Matanuska-Susitna Borough",15057,49470,1056,28141,6524,28223,375,27848,24981,2867,14482
"G0201800","2000","Alaska","02","020","Nome Census Area","180","1800","Nome Census Area",1899,7619,714,3478,724,3745,30,3715,3107,608,2431
"G0201850","2000","Alaska","02","020","North Slope Borough","185","1850","North Slope Borough",1524,6179,457,2766,660,3518,3,3515,2990,525,1357
"G0201880","2000","Alaska","02","020","Northwest Arctic Borough","188","1880","Northwest Arctic Borough",1405,6128,504,2550,444,2877,3,2874,2427,447,1658
"G0202010","2000","Alaska","02","020","Prince Of Wales-Outer Ketchikan","201","2010","Prince of Wales-Outer Ketchikan Census Area",1537,4993,87,3172,538,3075,0,3075,2614,461,1402
"G0202200","2000","Alaska","02","020","Sitka City and Borough","220","2200","Sitka City and Borough",2218,6983,158,3793,1657,4934,215,4719,4352,367,1766
"G0202320","2000","Alaska","02","020","Skagway-Hoonah-Angoon","232","2320","Skagway-Hoonah-Angoon Census Area",867,2720,96,1686,491,1752,7,1745,1471,274,872
"G0202400","2000","Alaska","02","020","Southeast Fairbanks Census Area","240","2400","Southeast Fairbanks Census Area",1506,5028,185,2835,673,2533,186,2347,1932,415,1852
"G0202610","2000","Alaska","02","020","Valdez-Cordova Census Area","261","2610","Valdez-Cordova Census Area",2559,8134,255,4819,1367,5043,106,4937,4463,474,2524
"G0202700","2000","Alaska","02","020","Wade Hampton Census Area","270","2700","Wade Hampton Census Area",1296,6419,670,2133,279,2399,0,2399,1825,574,1695
"G0202800","2000","Alaska","02","020","Wrangell-Petersburg","280","2800","Wrangell-Petersburg Census Area",1765,5495,127,3522,710,3406,2,3404,3031,373,1522
"G0202820","2000","Alaska","02","020","Yakutat City and Borough","282","2820","Yakutat City and Borough",159,525,12,418,92,477,0,477,440,37,136
"G0202900","2000","Alaska","02","020","Yukon-Koyukuk Census Area","290","2900","Yukon-Koyukuk Census Area",1480,5223,540,2639,528,2847,5,2842,2276,566,1684
"G0400010","2000","Arizona","04","040","Apache County","001","0010","Apache County",15266,61681,6801,25306,4110,21081,10,21071,16469,4602,24629
"G0400030","2000","Arizona","04","040","Cochise County","003","0030","Cochise County",30786,94456,7112,54415,14247,50973,5271,45702,42626,3076,39451
"G0400050","2000","Arizona","04","040","Coconino County","005","0050","Coconino County",26946,90661,4596,41622,19758,59688,41,59647,55510,4137,27289
"G0400070","2000","Arizona","04","040","Gila County","007","0070","Gila County",14090,42119,2257,28023,4870,19981,0,19981,18051,1930,19909
"G0400090","2000","Arizona","04","040","Graham County","009","0090","Graham County",7614,26421,1703,15315,2284,12104,10,12094,10692,1402,12437
"G0400110","2000","Arizona","04","040","Greenlee County","011","0110","Greenlee County",2266,7394,330,4242,635,3694,0,3694,3460,234,2465
"G0400120","2000","Arizona","04","040","La Paz County","012","0120","La Paz County",5616,15656,1430,11709,1250,7142,3,7139,6567,572,8992
"G0400130","2000","Arizona","04","040","Maricopa County","013","0130","Maricopa County",763110,2450178,144042,1290034,500881,1504252,6029,1498223,1427292,70931,823423
"G0400150","2000","Arizona","04","040","Mohave County","015","0150","Mohave County",43372,124629,5420,93072,10855,65081,33,65048,60517,4531,58176
"G0400170","2000","Arizona","04","040","Navajo County","017","0170","Navajo County",23069,84971,6514,41040,6661,33753,31,33722,29575,4147,33104
"G0400190","2000","Arizona","04","040","Pima County","019","0190","Pima County",212092,649834,34722,365370,146108,397215,5542,391673,370768,20905,261423
"G0400210","2000","Arizona","04","040","Pinal County","021","0210","Pinal County",45211,139571,12681,92244,14177,66772,77,66695,61291,5404,72764
"G0400230","2000","Arizona","04","040","Santa Cruz County","023","0230","Santa Cruz County",9511,34843,4588,14455,3402,13980,27,13953,12875,1078,12694
"G0400250","2000","Arizona","04","040","Yavapai County","025","0250","Yavapai County",46754,130503,5547,89271,25405,71822,108,71714,68098,3616,64472
"G0400270","2000","Arizona","04","040","Yuma County","027","0270","Yuma County",41664,136201,16953,69158,11569,59601,3585,56016,49213,6803,58862
"G0500010","2000","Arkansas","05","050","Arkansas County","001","0010","Arkansas County",5967,17260,1461,10735,1692,9928,16,9912,9297,615,6308
"G0500030","2000","Arkansas","05","050","Ashley County","003","0030","Ashley County",6910,20844,1566,12574,1582,10352,5,10347,9636,711,8131
"G0500050","2000","Arkansas","05","050","Baxter County","005","0050","Baxter County",11792,31264,2217,22956,3688,15734,15,15719,15088,631,16264
"G0500070","2000","Arkansas","05","050","Benton County","007","0070","Benton County",43474,130855,7651,71575,20210,74545,77,74468,71971,2497,42336
"G0500090","2000","Arkansas","05","050","Boone County","009","0090","Boone County",9859,28354,2189,17957,2924,15982,14,15968,15167,801,10837
"G0500110","2000","Arkansas","05","050","Bradley County","011","0110","Bradley County",3389,10042,1147,6223,998,5207,22,5185,4624,561,4832
"G0500130","2000","Arkansas","05","050","Calhoun County","013","0130","Calhoun County",1629,4795,435,3186,285,2488,0,2488,2355,133,1991
"G0500150","2000","Arkansas","05","050","Carroll County","015","0150","Carroll County",7107,20802,2001,12826,2380,12406,0,12406,11726,680,7585
"G0500170","2000","Arkansas","05","050","Chicot County","017","0170","Chicot County",3642,11354,1394,6610,1058,5506,4,5502,4943,559,5275
"G0500190","2000","Arkansas","05","050","Clark County","019","0190","Clark County",5820,16958,1153,9860,2722,11242,19,11223,10696,527,7722
"G0500210","2000","Arkansas","05","050","Clay County","021","0210","Clay County",5070,14543,2503,8772,900,7964,0,7964,7517,447,6016
"G0500230","2000","Arkansas","05","050","Cleburne County","023","0230","Cleburne County",7405,20286,1851,13046,2402,10268,31,10237,9739,498,9292
"G0500250","2000","Arkansas","05","050","Cleveland County","025","0250","Cleveland County",2515,7549,546,4548,565,3867,12,3855,3642,213,2686
