GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B79AA125,B79AA125M
"G0201500","2008-2012","Alaska","02","020","Kodiak Island Borough","150","1500","Kodiak Island Borough, Alaska",70976,6230
"G0201640","2008-2012","Alaska","02","020","Lake and Peninsula Borough","164","1640","Lake and Peninsula Borough, Alaska",49808,6304
"G0201700","2008-2012","Alaska","02","020","Matanuska-Susitna Borough","170","1700","Matanuska-Susitna Borough, Alaska",70728,2256
"G0201800","2008-2012","Alaska","02","020","Nome Census Area","180","1800","Nome Census Area, Alaska",51472,2868
"G0201850","2008-2012","Alaska","02","020","North Slope Borough","185","1850","North Slope Borough, Alaska",76679,7758
"G0201880","2008-2012","Alaska","02","020","Northwest Arctic Borough","188","1880","Northwest Arctic Borough, Alaska",60870,4347
"G0201950","2008-2012","Alaska","02","020","Petersburg Census Area","195","1950","Petersburg Census Area, Alaska",61696,11725
"G0201980","2008-2012","Alaska","02","020","Prince of Wales-Hyder Census Area","198","1980","Prince of Wales-Hyder Census Area, Alaska",45774,3165
"G0202200","2008-2012","Alaska","02","020","Sitka City and Borough","220","2200","Sitka City and Borough, Alaska",66895,4023
"G0202300","2008-2012","Alaska","02","020","Skagway Municipality","230","2300","Skagway Municipality, Alaska",71583,6065
"G0202400","2008-2012","Alaska","02","020","Southeast Fairbanks Census Area","240","2400","Southeast Fairbanks Census Area, Alaska",62712,9152
"G0202610","2008-2012","Alaska","02","020","Valdez-Cordova Census Area","261","2610","Valdez-Cordova Census Area, Alaska",67421,10436
"G0202700","2008-2012","Alaska","02","020","Wade Hampton Census Area","270","2700","Wade Hampton Census Area, Alaska",40608,2026
"G0202750","2008-2012","Alaska","02","020","Wrangell City and Borough","275","2750","Wrangell City and Borough, Alaska",47348,5102
"G0202820","2008-2012","Alaska","02","020","Yakutat City and Borough","282","2820","Yakutat City and Borough, Alaska",71705,5036
"G0202900","2008-2012","Alaska","02","020","Yukon-Koyukuk Census Area","290","2900","Yukon-Koyukuk Census Area, Alaska",35559,3051
"G0400010","2008-2012","Arizona","04","040","Apache County","001","0010","Apache County, Arizona",31615,1172
