GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B79AA2000
"G0800990","2000","Colorado","08","080","Prowers County","099","0990","Prowers County",29935
"G0801010","2000","Colorado","08","080","Pueblo County","101","1010","Pueblo County",32775
"G0801030","2000","Colorado","08","080","Rio Blanco County","103","1030","Rio Blanco County",37711
"G0801050","2000","Colorado","08","080","Rio Grande County","105","1050","Rio Grande County",31836
"G0801070","2000","Colorado","08","080","Routt County","107","1070","Routt County",53612
"G0801090","2000","Colorado","08","080","Saguache County","109","1090","Saguache County",25495
"G0801110","2000","Colorado","08","080","San Juan County","111","1110","San Juan County",30764
"G0801130","2000","Colorado","08","080","San Miguel County","113","1130","San Miguel County",48514
"G0801150","2000","Colorado","08","080","Sedgwick County","115","1150","Sedgwick County",28278
"G0801170","2000","Colorado","08","080","Summit County","117","1170","Summit County",56587
"G0801190","2000","Colorado","08","080","Teller County","119","1190","Teller County",50165
"G0801210","2000","Colorado","08","080","Washington County","121","1210","Washington County",32431
"G0801230","2000","Colorado","08","080","Weld County","123","1230","Weld County",42321
"G0801250","2000","Colorado","08","080","Yuma County","125","1250","Yuma County",33169
"G0900010","2000","Connecticut","09","090","Fairfield County","001","0010","Fairfield County",65249
"G0900030","2000","Connecticut","09","090","Hartford County","003","0030","Hartford County",50756
"G0900050","2000","Connecticut","09","090","Litchfield County","005","0050","Litchfield County",56273
"G0900070","2000","Connecticut","09","090","Middlesex County","007","0070","Middlesex County",59175
"G0900090","2000","Connecticut","09","090","New Haven County","009","0090","New Haven County",48834
"G0900110","2000","Connecticut","09","090","New London County","011","0110","New London County",50646
"G0900130","2000","Connecticut","09","090","Tolland County","013","0130","Tolland County",59044
"G0900150","2000","Connecticut","09","090","Windham County","015","0150","Windham County",45115
"G1000010","2000","Delaware","10","100","Kent County","001","0010","Kent County",40950
"G1000030","2000","Delaware","10","100","New Castle County","003","0030","New Castle County",52419
"G1000050","2000","Delaware","10","100","Sussex County","005","0050","Sussex County",39208
"G1100010","2000","District Of Columbia","11","110","District of Columbia","001","0010","District of Columbia",40127
"G1200010","2000","Florida","12","120","Alachua County","001","0010","Alachua County",31426
"G1200030","2000","Florida","12","120","Baker County","003","0030","Baker County",40035
"G1200050","2000","Florida","12","120","Bay County","005","0050","Bay County",36092
"G1200070","2000","Florida","12","120","Bradford County","007","0070","Bradford County",33140
"G1200090","2000","Florida","12","120","Brevard County","009","0090","Brevard County",40099
"G1200110","2000","Florida","12","120","Broward County","011","0110","Broward County",41691
"G1200130","2000","Florida","12","120","Calhoun County","013","0130","Calhoun County",26575
"G1200150","2000","Florida","12","120","Charlotte County","015","0150","Charlotte County",36379
"G1200170","2000","Florida","12","120","Citrus County","017","0170","Citrus County",31001
"G1200190","2000","Florida","12","120","Clay County","019","0190","Clay County",48854
"G1200210","2000","Florida","12","120","Collier County","021","0210","Collier County",48289
"G1200230","2000","Florida","12","120","Columbia County","023","0230","Columbia County",30881
"G1200270","2000","Florida","12","120","DeSoto County","027","0270","DeSoto County",30714
"G1200290","2000","Florida","12","120","Dixie County","029","0290","Dixie County",26082
"G1200310","2000","Florida","12","120","Duval County","031","0310","Duval County",40703
"G1200330","2000","Florida","12","120","Escambia County","033","0330","Escambia County",35234
"G1200350","2000","Florida","12","120","Flagler County","035","0350","Flagler County",40214
"G1200370","2000","Florida","12","120","Franklin County","037","0370","Franklin County",26756
"G1200390","2000","Florida","12","120","Gadsden County","039","0390","Gadsden County",31248
"G1200410","2000","Florida","12","120","Gilchrist County","041","0410","Gilchrist County",30328
"G1200430","2000","Florida","12","120","Glades County","043","0430","Glades County",30774
